"city","state","lon","lat"
"Fremont","NH",-71.1875,43.0625
"Nashua","NH",-71.4375,42.6875
"Amherst","NH",-71.5625,42.8125
"Auburn","NH",-71.3125,43.0625
"Brookline","NH",-71.6875,42.6875
"Candia","NH",-71.3125,43.0625
"Chester","NH",-71.1875,42.9375
"Deerfield","NH",-71.1875,43.1875
"Derry","NH",-71.3125,42.9375
"East Candia","NH",-71.0625,43.0625
"East Derry","NH",-71.0625,43.0625
"Epping","NH",-71.0625,43.0625
"Francestown","NH",-71.8125,42.9375
"Goffstown","NH",-71.5625,43.0625
"Dunbarton","NH",-71.5625,43.0625
"Greenfield","NH",-71.8125,42.9375
"Greenville","NH",-71.8125,42.6875
"Hollis","NH",-71.5625,42.6875
"Hudson","NH",-71.4375,42.8125
"Litchfield","NH",-71.4375,42.8125
"Londonderry","NH",-71.4375,42.9375
"Merrimack","NH",-71.5625,42.8125
"Milford","NH",-71.6875,42.8125
"Mont Vernon","NH",-71.6875,42.9375
"Sharon","NH",-71.9375,42.8125
"New Boston","NH",-71.6875,42.9375
"New Ipswich","NH",-71.8125,42.8125
"North Salem","NH",-71.0625,43.0625
"Pelham","NH",-71.3125,42.6875
"Raymond","NH",-71.1875,43.0625
"Salem","NH",-71.1875,42.8125
"Lyndeborough","NH",-71.8125,42.9375
"Temple","NH",-71.8125,42.8125
"Wilton","NH",-71.8125,42.8125
"Windham","NH",-71.3125,42.8125
"Berwick","ME",-70.8125,43.3125
"Ogunquit","ME",-70.5625,43.3125
"Manchester","NH",-71.4375,42.9375
"Hooksett","NH",-71.4375,43.0625
"Bedford","NH",-71.5625,42.9375
"Waterville Valley","NH",-71.5625,43.9375
"Andover","NH",-71.8125,43.4375
"Ashland","NH",-71.6875,43.6875
"Barnstead","NH",-71.3125,43.3125
"Belmont","NH",-71.4375,43.4375
"Bradford","NH",-71.9375,43.3125
"Bristol","NH",-71.8125,43.5625
"Campton","NH",-71.6875,43.9375
"Canterbury","NH",-71.5625,43.3125
"Center Barnstead","NH",-71.1875,43.3125
"Center Harbor","NH",-71.4375,43.6875
"Center Sandwich","NH",-71.4375,43.8125
"Contoocook","NH",-71.6875,43.1875
"Danbury","NH",-71.8125,43.5625
"East Andover","NH",-71.6875,43.4375
"East Hebron","NH",-71.8125,43.9375
"Elkins","NH",-71.9375,43.4375
"Epsom","NH",-71.3125,43.1875
"Franklin","NH",-71.6875,43.4375
"Gilmanton","NH",-71.4375,43.4375
"Glencliff","NH",-71.8125,43.9375
"Grafton","NH",-71.9375,43.5625
"Hebron","NH",-71.8125,43.6875
"Henniker","NH",-71.8125,43.1875
"Hill","NH",-71.6875,43.5625
"Hillsboro","NH",-71.9375,43.0625
"Holderness","NH",-71.5625,43.6875
"Laconia","NH",-71.4375,43.5625
"Lincoln","NH",-71.6875,44.0625
"Lochmere","NH",-71.5625,43.4375
"Meredith","NH",-71.5625,43.6875
"Moultonborough","NH",-71.4375,43.6875
"Newbury","NH",-72.0625,43.3125
"New Hampton","NH",-71.6875,43.5625
"New London","NH",-72.0625,43.4375
"Chichester","NH",-71.4375,43.3125
"North Sandwich","NH",-71.4375,43.9375
"North Sutton","NH",-71.9375,43.3125
"Northwood","NH",-71.1875,43.1875
"North Woodstock","NH",-71.6875,44.0625
"Pittsfield","NH",-71.3125,43.3125
"Plymouth","NH",-71.6875,43.8125
"Rumney","NH",-71.9375,43.8125
"Salisbury","NH",-71.6875,43.4375
"Sanbornton","NH",-71.5625,43.5625
"South Newbury","NH",-71.6875,43.3125
"South Sutton","NH",-71.9375,43.3125
"Stinson Lake","NH",-71.8125,43.9375
"Suncook","NH",-71.4375,43.1875
